[Tue May 24 14:07:06 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
[Tue May 24 14:54:15 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Tue May 24 14:54:16 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Tue May 24 15:04:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
[Tue May 24 15:04:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]
[Tue May 24 15:05:43 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Tue May 24 15:05:45 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Tue May 24 15:12:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
[Tue May 24 15:12:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]
[Tue May 24 15:15:45 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
[Tue May 24 15:15:46 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
[Tue May 24 15:29:02 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Tue May 24 15:29:02 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]
[Tue May 24 16:16:06 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lQ4Kq_eyZ7g:APA91bFTdvaXB_zhoqfTXSMu75B9HuWmQRp-trGhZpIQb6ncwCiS_ieFkPHr5d76OSnbUgIjqX3L-_XpPbpRgPMB2GXxKjix1GGl8vRnuupTsg8yId81_iJpS0By7TIPvqBZ5f7NaJTI]	 Status: [Existing]
[Tue May 24 16:28:51 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
