[Thu May 26 13:59:34 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 14:24:24 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 14:33:41 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]	 Status: [Existing]
[Thu May 26 14:33:54 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 14:34:00 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]	 Status: [Existing]
[Thu May 26 14:34:00 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]
[Thu May 26 14:38:19 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 14:39:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
[Thu May 26 14:39:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]
[Thu May 26 14:40:20 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
